Feature1,Feature2,Pearson_r
_STATE,_STSTR,0.999995
IDATE,IMONTH,0.999716
SEQNO,_PSU,1.000000
EDUCA,_EDUCAG,0.980414
HIVTST6,_AIDTST3,0.988054
_STRWT,_WT2RAKE,0.953700
_CRACE1,_CPRACE,1.000000
_HCVU651,_AGE65YR,0.968938
_PRACE1,_MRACE1,0.998623
_RACE,_RACEGR3,0.957307
_AGEG5YR,_AGE80,0.976548
_AGEG5YR,_AGE_G,0.951582
_AGE80,_AGE_G,0.971228
HTIN4,HTM4,0.993609
DRNKANY5,DROCDY3_,0.916231
DROCDY3_,_RFBING5,0.908232
DROCDY3_,_DRNKWEK,0.910393
DROCDY3_,_RFDRHV5,0.910341
_DRNKWEK,_RFDRHV5,0.994992
_MISFRTN,_MISVEGN,0.901352
_MISFRTN,_FRTRESP,-0.964439
_MISFRTN,_FRTLT1,0.945135
_MISFRTN,_FRUITEX,0.959809
_MISVEGN,_VEGRESP,-0.914928
_MISVEGN,_VEGLT1,0.904354
_MISVEGN,_VEGETEX,0.912791
_FRTRESP,_FRTLT1,-0.979984
_FRTRESP,_FRUITEX,-0.995199
_VEGRESP,_VEGLT1,-0.988443
_VEGRESP,_VEGETEX,-0.997665
_FRTLT1,_FRUITEX,0.975046
_VEGLT1,_VEGETEX,0.986074
_TOTINDA,PAMISS1_,0.975605
MAXVO2_,FC60_,0.997938
_MINAC11,PAMIN11_,0.918621
_MINAC21,PAMIN21_,0.934189
PAMISS1_,_RFSEAT2,0.912702
PAMISS1_,_RFSEAT3,0.908310
_PACAT1,_PAINDX1,0.923267
_PACAT1,_PA150R2,0.954139
_PACAT1,_PA300R2,0.979954
_PACAT1,_PA30021,0.940404
_PACAT1,_PAREC1,0.913955
_PAINDX1,_PA150R2,0.984788
_PAINDX1,_PA300R2,0.952871
_PAINDX1,_PA30021,0.959942
_PAINDX1,_PAREC1,0.913986
_PAINDX1,_PASTAE1,0.941681
_PA150R2,_PA300R2,0.959680
_PA150R2,_PA30021,0.936072
_PA150R2,_PAREC1,0.933147
_PA150R2,_PASTAE1,0.913822
_PA300R2,_PA30021,0.984494
_PA30021,_PASTAE1,0.918823
_PASTRNG,_RFSEAT2,0.909650
_PASTRNG,_RFSEAT3,0.905560
_PAREC1,_PASTAE1,0.926183
_RFSEAT2,_RFSEAT3,0.994748
