Feature	Correlation	P-value
Id	0.002578	1.396968e-01
_STATE	0.005628	1.264291e-03
FMONTH	0.006665	1.344905e-04
IDATE	0.005441	1.828957e-03
IMONTH	0.006019	5.650305e-04
IDAY	-0.024455	1.000000e-300
IYEAR	-0.013988	1.110223e-15
DISPCODE	-0.017697	1.000000e-300
SEQNO	-0.050474	1.000000e-300
_PSU	-0.050474	1.000000e-300
CTELENUM	0.000000	nan
PVTRESD1	0.002051	3.730485e-01
COLGHOUS	0.000000	nan
STATERES	0.000000	nan
CELLFON3	0.012391	7.320779e-08
LADULT	-0.232173	1.910815e-01
NUMADULT	-0.061312	1.000000e-300
NUMMEN	-0.022256	1.000000e-300
NUMWOMEN	-0.066829	1.000000e-300
CTELNUM1	0.000000	nan
CELLFON2	0.000000	nan
CADULT	-0.064076	1.000000e-300
PVTRESD2	-0.017651	4.346856e-11
CCLGHOUS	0.000000	nan
CSTATE	-0.022869	1.000000e-300
LANDLINE	-0.038186	1.000000e-300
HHADULT	-0.008506	1.734689e-03
GENHLTH	0.244270	1.000000e-300
PHYSHLTH	-0.097377	1.000000e-300
MENTHLTH	-0.008142	3.095338e-06
POORHLTH	-0.056314	1.000000e-300
HLTHPLN1	-0.025698	1.000000e-300
PERSDOC2	-0.041851	1.000000e-300
MEDCOST	-0.007753	8.947828e-06
CHECKUP1	-0.052416	1.000000e-300
BPHIGH4	-0.204504	1.000000e-300
BPMEDS	-0.081600	1.000000e-300
BLOODCHO	-0.051094	1.000000e-300
CHOLCHK	-0.071469	1.000000e-300
TOLDHI2	-0.113903	1.000000e-300
CVDSTRK3	-0.101266	1.000000e-300
ASTHMA3	-0.031764	1.000000e-300
ASTHNOW	-0.036047	3.907985e-14
CHCSCNCR	-0.056890	1.000000e-300
CHCOCNCR	-0.059604	1.000000e-300
CHCCOPD1	-0.085286	1.000000e-300
HAVARTH3	-0.121990	1.000000e-300
ADDEPEV2	-0.041022	1.000000e-300
CHCKIDNY	-0.050310	1.000000e-300
DIABETE3	-0.161344	1.000000e-300
