Feature	Spearman_r	P-value
Id	0.002578	1.396969e-01
_STATE	0.005202	2.882049e-03
FMONTH	0.006662	1.356364e-04
IDATE	0.003951	2.362271e-02
IMONTH	0.006055	5.232857e-04
IDAY	-0.024730	1.000000e-300
IYEAR	-0.013988	1.110223e-15
DISPCODE	-0.017697	1.000000e-300
SEQNO	-0.051163	1.000000e-300
_PSU	-0.051163	1.000000e-300
CTELENUM	-0.075490	1.000000e-300
PVTRESD1	-0.075467	1.000000e-300
COLGHOUS	0.002620	1.334104e-01
STATERES	-0.075490	1.000000e-300
CELLFON3	-0.065691	1.000000e-300
LADULT	0.002620	1.334108e-01
NUMADULT	-0.091409	1.000000e-300
NUMMEN	-0.076216	1.000000e-300
NUMWOMEN	-0.090986	1.000000e-300
CTELNUM1	0.071306	1.000000e-300
CELLFON2	0.071306	1.000000e-300
CADULT	0.059303	1.000000e-300
PVTRESD2	0.070910	1.000000e-300
CCLGHOUS	0.003717	3.323669e-02
CSTATE	0.068987	1.000000e-300
LANDLINE	0.062489	1.000000e-300
HHADULT	0.059290	1.000000e-300
GENHLTH	0.233733	1.000000e-300
PHYSHLTH	-0.089718	1.000000e-300
MENTHLTH	-0.007586	1.390262e-05
POORHLTH	-0.089191	1.000000e-300
HLTHPLN1	-0.039935	1.000000e-300
PERSDOC2	-0.030741	1.000000e-300
MEDCOST	-0.017619	1.000000e-300
CHECKUP1	-0.077466	1.000000e-300
BPHIGH4	-0.211624	1.000000e-300
BPMEDS	-0.201653	1.000000e-300
BLOODCHO	-0.087168	1.000000e-300
CHOLCHK	-0.132575	1.000000e-300
TOLDHI2	-0.185984	1.000000e-300
CVDSTRK3	-0.191501	1.000000e-300
ASTHMA3	-0.047350	1.000000e-300
ASTHNOW	-0.028514	1.000000e-300
CHCSCNCR	-0.081240	1.000000e-300
CHCOCNCR	-0.082112	1.000000e-300
CHCCOPD1	-0.171309	1.000000e-300
HAVARTH3	-0.164535	1.000000e-300
ADDEPEV2	-0.065509	1.000000e-300
CHCKIDNY	-0.120739	1.000000e-300
DIABETE3	-0.152303	1.000000e-300
DIABAGE2	-0.102683	1.000000e-300
SEX	-0.070946	1.000000e-300
MARITAL	0.001424	4.146450e-01
EDUCA	-0.082382	1.000000e-300
RENTHOM1	-0.012730	3.044232e-13
NUMHHOL2	-0.074530	1.000000e-300
NUMPHON2	-0.002156	2.167359e-01
CPDEMO1	-0.054414	1.000000e-300
VETERAN3	-0.118793	1.000000e-300
EMPLOY1	0.211032	1.000000e-300
CHILDREN	0.106881	1.000000e-300
INCOME2	-0.076261	1.000000e-300
INTERNET	0.141788	1.000000e-300
WEIGHT2	0.041094	1.000000e-300
HEIGHT3	0.009881	1.509147e-08
PREGNANT	0.069546	1.000000e-300
QLACTLM2	-0.172063	1.000000e-300
USEEQUIP	-0.172435	1.000000e-300
BLIND	-0.083388	1.000000e-300
DECIDE	-0.083649	1.000000e-300
DIFFWALK	-0.192168	1.000000e-300
DIFFDRES	-0.090785	1.000000e-300
DIFFALON	-0.114329	1.000000e-300
SMOKE100	-0.102071	1.000000e-300
SMOKDAY2	-0.083265	1.000000e-300
STOPSMK2	-0.010461	2.063221e-09
LASTSMK2	-0.073960	1.000000e-300
USENOW3	-0.005599	1.338556e-03
ALCDAY5	0.071386	1.000000e-300
AVEDRNK2	0.066195	1.000000e-300
DRNK3GE5	0.081784	1.000000e-300
MAXDRNKS	0.062780	1.000000e-300
FRUITJU1	-0.005798	8.960982e-04
FRUIT1	0.011586	3.195622e-11
FVBEANS	0.012704	3.390621e-13
FVGREEN	0.026755	1.000000e-300
FVORANG	0.011107	1.979032e-10
VEGETAB1	0.007408	2.201528e-05
EXERANY2	0.058517	1.000000e-300
EXRACT11	0.067325	1.000000e-300
EXEROFT1	0.068723	1.000000e-300
EXERHMM1	0.038791	1.000000e-300
EXRACT21	0.076670	1.000000e-300
EXEROFT2	0.068701	1.000000e-300
EXERHMM2	0.059855	1.000000e-300
STRENGTH	0.048135	1.000000e-300
LMTJOIN3	-0.136519	1.000000e-300
ARTHDIS2	-0.131762	1.000000e-300
ARTHSOCL	-0.137822	1.000000e-300
JOINPAIN	-0.110846	1.000000e-300
SEATBELT	0.008309	1.939521e-06
FLUSHOT6	-0.061051	1.000000e-300
FLSHTMY2	-0.059844	1.000000e-300
IMFVPLAC	-0.074472	1.000000e-300
PNEUVAC3	-0.146012	1.000000e-300
HIVTST6	0.031806	1.000000e-300
HIVTSTD3	0.034311	1.000000e-300
WHRTST10	0.032852	1.000000e-300
PDIABTST	0.009602	3.785419e-08
PREDIAB1	0.009923	1.310516e-08
INSULIN	-0.052958	1.000000e-300
BLDSUGAR	-0.052663	1.000000e-300
FEETCHK2	-0.052515	1.000000e-300
DOCTDIAB	-0.051923	1.000000e-300
CHKHEMO3	-0.052009	1.000000e-300
FEETCHK	-0.051681	1.000000e-300
EYEEXAM	-0.052495	1.000000e-300
DIABEYE	-0.052809	1.000000e-300
DIABEDU	-0.052470	1.000000e-300
CAREGIV1	-0.013705	3.996803e-15
CRGVREL1	0.000087	9.602688e-01
CRGVLNG1	-0.000034	9.842428e-01
CRGVHRS1	0.000023	9.893769e-01
CRGVPRB1	-0.000116	9.471216e-01
CRGVPERS	-0.000046	9.789684e-01
CRGVHOUS	-0.000043	9.802299e-01
CRGVMST2	-0.000154	9.297656e-01
CRGVEXPT	-0.010091	7.430805e-09
VIDFCLT2	0.001129	5.179312e-01
VIREDIF3	0.001128	5.181949e-01
VIPRFVS2	0.001124	5.196461e-01
VINOCRE2	0.001812	2.992974e-01
VIEYEXM2	0.002393	1.703769e-01
VIINSUR2	0.001129	5.176533e-01
VICTRCT4	0.001123	5.200884e-01
VIGLUMA2	0.001128	5.183041e-01
VIMACDG2	0.001126	5.188714e-01
CIMEMLOS	-0.058246	1.000000e-300
CDHOUSE	-0.022757	1.000000e-300
CDASSIST	-0.022823	1.000000e-300
CDHELP	-0.008427	1.384088e-06
CDSOCIAL	-0.022774	1.000000e-300
CDDISCUS	-0.022746	1.000000e-300
WTCHSALT	-0.011934	8.105072e-12
LONGWTCH	-0.014501	1.000000e-300
DRADVISE	-0.012703	3.410605e-13
ASTHMAGE	0.001687	3.337244e-01
ASATTACK	0.001893	2.781885e-01
ASERVIST	0.002169	2.140530e-01
ASDRVIST	0.002169	2.140407e-01
ASRCHKUP	0.001895	2.776501e-01
ASACTLIM	0.001895	2.777192e-01
ASYMPTOM	0.001922	2.710019e-01
ASNOSLEP	0.001812	2.992081e-01
ASTHMED3	0.001922	2.707811e-01
ASINHALR	0.001922	2.707924e-01
HAREHAB1	-0.011014	2.794240e-10
STREHAB1	-0.000092	9.577635e-01
CVDASPRN	-0.000087	9.601457e-01
ASPUNSAF	0.010026	9.261648e-09
RLIVPAIN	-0.006674	1.316341e-04
RDUCHART	-0.006707	1.219420e-04
RDUCSTRK	-0.006683	1.290211e-04
ARTTODAY	-0.016029	1.000000e-300
ARTHWGT	-0.016348	1.000000e-300
ARTHEXER	-0.016343	1.000000e-300
ARTHEDU	-0.016374	1.000000e-300
TETANUS	-0.008347	1.740869e-06
HPVADVC2	0.012571	5.961898e-13
HPVADSHT	0.004018	2.134555e-02
SHINGLE2	-0.016584	1.000000e-300
HADMAM	0.008114	3.347906e-06
